technique_id,control_id,Technique Name,Control Name
T1556.006,AC-1,Multi-Factor Authentication,Policy and Procedures
T1556.007,AC-1,Hybrid Identity,Policy and Procedures
T1137,AC-10,Office Application Startup,Concurrent Session Control
T1137.002,AC-10,Office Test,Concurrent Session Control
T1185,AC-10,Browser Session Hijacking,Concurrent Session Control
T1528,AC-10,Steal Application Access Token,Concurrent Session Control
T1021.001,AC-11,Remote Desktop Protocol,Device Lock
T1563.002,AC-11,RDP Hijacking,Device Lock
T1021.001,AC-12,Remote Desktop Protocol,Session Termination
T1072,AC-12,Software Deployment Tools,Session Termination
T1185,AC-12,Browser Session Hijacking,Session Termination
T1563.002,AC-12,RDP Hijacking,Session Termination
T1505.005,AC-12,Terminal Services DLL,Session Termination
T1137.002,AC-14,Office Test,Permitted Actions Without Identification or Authentication
T1020.001,AC-16,Traffic Duplication,Security and Privacy Attributes
T1070,AC-16,Indicator Removal on Host,Security and Privacy Attributes
T1070.001,AC-16,Clear Windows Event Logs,Security and Privacy Attributes
T1222,AC-16,File and Directory Permissions Modification,Security and Privacy Attributes
T1505,AC-16,Server Software Component,Security and Privacy Attributes
T1537,AC-16,Transfer Data to Cloud Account,Security and Privacy Attributes
T1547.007,AC-16,Re-opened Applications,Security and Privacy Attributes
T1548.003,AC-16,Sudo and Sudo Caching,Security and Privacy Attributes
T1550.001,AC-16,Application Access Token,Security and Privacy Attributes
T1552.005,AC-16,Cloud Instance Metadata API,Security and Privacy Attributes
T1558,AC-16,Steal or Forge Kerberos Tickets,Security and Privacy Attributes
T1558.003,AC-16,Kerberoasting,Security and Privacy Attributes
T1565,AC-16,Data Manipulation,Security and Privacy Attributes
T1565.001,AC-16,Stored Data Manipulation,Security and Privacy Attributes
T1565.002,AC-16,Transmitted Data Manipulation,Security and Privacy Attributes
T1567,AC-16,Exfiltration Over Web Service,Security and Privacy Attributes
T1602.002,AC-16,Network Device Configuration Dump,Security and Privacy Attributes
T1003,AC-16,OS Credential Dumping,Security and Privacy Attributes
T1025,AC-16,Data from Removable Media,Security and Privacy Attributes
T1041,AC-16,Exfiltration Over C2 Channel,Security and Privacy Attributes
T1048,AC-16,Exfiltration Over Alternative Protocol,Security and Privacy Attributes
T1048.002,AC-16,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Security and Privacy Attributes
T1048.003,AC-16,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Security and Privacy Attributes
T1052,AC-16,Exfiltration Over Physical Medium,Security and Privacy Attributes
T1052.001,AC-16,Exfiltration over USB,Security and Privacy Attributes
T1070.002,AC-16,Clear Linux or Mac System Logs,Security and Privacy Attributes
T1114,AC-16,Email Collection,Security and Privacy Attributes
T1114.001,AC-16,Local Email Collection,Security and Privacy Attributes
T1114.002,AC-16,Remote Email Collection,Security and Privacy Attributes
T1114.003,AC-16,Email Forwarding Rule,Security and Privacy Attributes
T1213,AC-16,Data from Information Repositories,Security and Privacy Attributes
T1213.001,AC-16,Confluence,Security and Privacy Attributes
T1213.002,AC-16,Sharepoint,Security and Privacy Attributes
T1222.001,AC-16,Windows File and Directory Permissions Modification,Security and Privacy Attributes
T1222.002,AC-16,Linux and Mac File and Directory Permissions Modification,Security and Privacy Attributes
T1505.002,AC-16,Transport Agent,Security and Privacy Attributes
T1548,AC-16,Abuse Elevation Control Mechanism,Security and Privacy Attributes
T1552,AC-16,Unsecured Credentials,Security and Privacy Attributes
T1552.004,AC-16,Private Keys,Security and Privacy Attributes
T1557.002,AC-16,ARP Cache Poisoning,Security and Privacy Attributes
T1558.002,AC-16,Silver Ticket,Security and Privacy Attributes
T1558.004,AC-16,AS-REP Roasting,Security and Privacy Attributes
T1564.004,AC-16,NTFS File Attributes,Security and Privacy Attributes
T1602,AC-16,Data from Configuration Repository,Security and Privacy Attributes
T1602.001,AC-16,SNMP (MIB Dump),Security and Privacy Attributes
T1003.003,AC-16,NTDS,Security and Privacy Attributes
T1005,AC-16,Data from Local System,Security and Privacy Attributes
T1040,AC-16,Network Sniffing,Security and Privacy Attributes
T1119,AC-16,Automated Collection,Security and Privacy Attributes
T1530,AC-16,Data from Cloud Storage Object,Security and Privacy Attributes
T1557,AC-16,Adversary-in-the-Middle,Security and Privacy Attributes
T1070.008,AC-16,Clear Mailbox Data,Security Attributes
T1647,AC-16,Plist File Modification,Security Attributes
T1020.001,AC-17,Traffic Duplication,Remote Access
T1021.001,AC-17,Remote Desktop Protocol,Remote Access
T1047,AC-17,Windows Management Instrumentation,Remote Access
T1059,AC-17,Command and Scripting Interpreter,Remote Access
T1059.001,AC-17,PowerShell,Remote Access
T1059.002,AC-17,AppleScript,Remote Access
T1059.005,AC-17,Visual Basic,Remote Access
T1059.008,AC-17,Network Device CLI,Remote Access
T1070,AC-17,Indicator Removal on Host,Remote Access
T1070.001,AC-17,Clear Windows Event Logs,Remote Access
T1219,AC-17,Remote Access Software,Remote Access
T1537,AC-17,Transfer Data to Cloud Account,Remote Access
T1543,AC-17,Create or Modify System Process,Remote Access
T1547.003,AC-17,Time Providers,Remote Access
T1547.004,AC-17,Winlogon Helper DLL,Remote Access
T1547.009,AC-17,Shortcut Modification,Remote Access
T1550.001,AC-17,Application Access Token,Remote Access
T1558,AC-17,Steal or Forge Kerberos Tickets,Remote Access
T1558.003,AC-17,Kerberoasting,Remote Access
T1565,AC-17,Data Manipulation,Remote Access
T1565.001,AC-17,Stored Data Manipulation,Remote Access
T1565.002,AC-17,Transmitted Data Manipulation,Remote Access
T1602.002,AC-17,Network Device Configuration Dump,Remote Access
T1609,AC-17,Container Administration Command,Remote Access
T1610,AC-17,Deploy Container,Remote Access
T1021,AC-17,Remote Services,Remote Access
T1021.002,AC-17,SMB/Windows Admin Shares,Remote Access
T1021.003,AC-17,Distributed Component Object Model,Remote Access
T1021.004,AC-17,SSH,Remote Access
T1021.005,AC-17,VNC,Remote Access
T1021.006,AC-17,Windows Remote Management,Remote Access
T1037,AC-17,Boot or Logon Initialization Scripts,Remote Access
T1037.001,AC-17,Logon Script (Windows),Remote Access
T1059.003,AC-17,Windows Command Shell,Remote Access
T1059.004,AC-17,Unix Shell,Remote Access
T1059.006,AC-17,Python,Remote Access
T1059.007,AC-17,JavaScript,Remote Access
T1070.002,AC-17,Clear Linux or Mac System Logs,Remote Access
T1114,AC-17,Email Collection,Remote Access
T1114.001,AC-17,Local Email Collection,Remote Access
T1114.002,AC-17,Remote Email Collection,Remote Access
T1114.003,AC-17,Email Forwarding Rule,Remote Access
T1137,AC-17,Office Application Startup,Remote Access
T1137.002,AC-17,Office Test,Remote Access
T1213,AC-17,Data from Information Repositories,Remote Access
T1213.001,AC-17,Confluence,Remote Access
T1213.002,AC-17,Sharepoint,Remote Access
T1505.004,AC-17,IIS Components,Remote Access
T1547.012,AC-17,Print Processors,Remote Access
T1547.013,AC-17,XDG Autostart Entries,Remote Access
T1552,AC-17,Unsecured Credentials,Remote Access
T1552.002,AC-17,Credentials in Registry,Remote Access
T1552.004,AC-17,Private Keys,Remote Access
T1557.002,AC-17,ARP Cache Poisoning,Remote Access
T1558.002,AC-17,Silver Ticket,Remote Access
T1558.004,AC-17,AS-REP Roasting,Remote Access
T1563,AC-17,Remote Service Session Hijacking,Remote Access
T1563.001,AC-17,SSH Hijacking,Remote Access
T1563.002,AC-17,RDP Hijacking,Remote Access
T1602,AC-17,Data from Configuration Repository,Remote Access
T1602.001,AC-17,SNMP (MIB Dump),Remote Access
T1612,AC-17,Build Image on Host,Remote Access
T1613,AC-17,Container and Resource Discovery,Remote Access
T1619,AC-17,Cloud Storage Object Discovery,Remote Access
T1040,AC-17,Network Sniffing,Remote Access
T1119,AC-17,Automated Collection,Remote Access
T1133,AC-17,External Remote Services,Remote Access
T1530,AC-17,Data from Cloud Storage Object,Remote Access
T1552.007,AC-17,Container API,Remote Access
T1557,AC-17,Adversary-in-the-Middle,Remote Access
T1070.008,AC-17,Clear Mailbox Data,Remote Access
T1505.005,AC-17,Terminal Services DLL,Remote Access
T1647,AC-17,Plist File Modification,Remote Access
T1011,AC-18,Exfiltration Over Other Network Medium,Wireless Access
T1011.001,AC-18,Exfiltration Over Bluetooth,Wireless Access
T1020.001,AC-18,Traffic Duplication,Wireless Access
T1070,AC-18,Indicator Removal on Host,Wireless Access
T1070.001,AC-18,Clear Windows Event Logs,Wireless Access
T1558,AC-18,Steal or Forge Kerberos Tickets,Wireless Access
T1558.003,AC-18,Kerberoasting,Wireless Access
T1565,AC-18,Data Manipulation,Wireless Access
T1565.001,AC-18,Stored Data Manipulation,Wireless Access
T1565.002,AC-18,Transmitted Data Manipulation,Wireless Access
T1602.002,AC-18,Network Device Configuration Dump,Wireless Access
T1070.002,AC-18,Clear Linux or Mac System Logs,Wireless Access
T1552,AC-18,Unsecured Credentials,Wireless Access
T1552.004,AC-18,Private Keys,Wireless Access
T1557.002,AC-18,ARP Cache Poisoning,Wireless Access
T1558.002,AC-18,Silver Ticket,Wireless Access
T1558.004,AC-18,AS-REP Roasting,Wireless Access
T1602,AC-18,Data from Configuration Repository,Wireless Access
T1602.001,AC-18,SNMP (MIB Dump),Wireless Access
T1040,AC-18,Network Sniffing,Wireless Access
T1119,AC-18,Automated Collection,Wireless Access
T1530,AC-18,Data from Cloud Storage Object,Wireless Access
T1557,AC-18,Adversary-in-the-Middle,Wireless Access
T1070.008,AC-18,Clear Mailbox Data,Wireless Access
T1020.001,AC-19,Traffic Duplication,Access Control for Mobile Devices
T1070,AC-19,Indicator Removal on Host,Access Control for Mobile Devices
T1070.001,AC-19,Clear Windows Event Logs,Access Control for Mobile Devices
T1550.001,AC-19,Application Access Token,Access Control for Mobile Devices
T1558,AC-19,Steal or Forge Kerberos Tickets,Access Control for Mobile Devices
T1558.003,AC-19,Kerberoasting,Access Control for Mobile Devices
T1565,AC-19,Data Manipulation,Access Control for Mobile Devices
T1565.001,AC-19,Stored Data Manipulation,Access Control for Mobile Devices
T1565.002,AC-19,Transmitted Data Manipulation,Access Control for Mobile Devices
T1602.002,AC-19,Network Device Configuration Dump,Access Control for Mobile Devices
T1070.002,AC-19,Clear Linux or Mac System Logs,Access Control for Mobile Devices
T1114,AC-19,Email Collection,Access Control for Mobile Devices
T1114.001,AC-19,Local Email Collection,Access Control for Mobile Devices
T1114.002,AC-19,Remote Email Collection,Access Control for Mobile Devices
T1114.003,AC-19,Email Forwarding Rule,Access Control for Mobile Devices
T1552,AC-19,Unsecured Credentials,Access Control for Mobile Devices
T1552.004,AC-19,Private Keys,Access Control for Mobile Devices
T1557.002,AC-19,ARP Cache Poisoning,Access Control for Mobile Devices
T1558.002,AC-19,Silver Ticket,Access Control for Mobile Devices
T1558.004,AC-19,AS-REP Roasting,Access Control for Mobile Devices
T1602,AC-19,Data from Configuration Repository,Access Control for Mobile Devices
T1602.001,AC-19,SNMP (MIB Dump),Access Control for Mobile Devices
T1040,AC-19,Network Sniffing,Access Control for Mobile Devices
T1119,AC-19,Automated Collection,Access Control for Mobile Devices
T1530,AC-19,Data from Cloud Storage Object,Access Control for Mobile Devices
T1557,AC-19,Adversary-in-the-Middle,Access Control for Mobile Devices
T1070.008,AC-19,Clear Mailbox Data,Access Control For Mobile Devices
T1021.001,AC-2,Remote Desktop Protocol,Account Management
T1047,AC-2,Windows Management Instrumentation,Account Management
T1053,AC-2,Scheduled Task/Job,Account Management
T1053.002,AC-2,At (Windows),Account Management
T1053.003,AC-2,Cron,Account Management
T1053.005,AC-2,Scheduled Task,Account Management
T1059,AC-2,Command and Scripting Interpreter,Account Management
T1059.001,AC-2,PowerShell,Account Management
T1059.002,AC-2,AppleScript,Account Management
T1059.005,AC-2,Visual Basic,Account Management
T1059.008,AC-2,Network Device CLI,Account Management
T1070,AC-2,Indicator Removal on Host,Account Management
T1070.001,AC-2,Clear Windows Event Logs,Account Management
T1070.003,AC-2,Clear Command History,Account Management
T1078.002,AC-2,Domain Accounts,Account Management
T1078.004,AC-2,Cloud Accounts,Account Management
T1098,AC-2,Account Manipulation,Account Management
T1098.001,AC-2,Additional Cloud Credentials,Account Management
T1098.002,AC-2,Exchange Email Delegate Permissions,Account Management
T1098.003,AC-2,Add Office 365 Global Administrator Role,Account Management
T1190,AC-2,Exploit Public-Facing Application,Account Management
T1197,AC-2,BITS Jobs,Account Management
T1210,AC-2,Exploitation of Remote Services,Account Management
T1213.003,AC-2,Code Repositories,Account Management
T1218.007,AC-2,Msiexec,Account Management
T1222,AC-2,File and Directory Permissions Modification,Account Management
T1495,AC-2,Firmware Corruption,Account Management
T1505,AC-2,Server Software Component,Account Management
T1505.003,AC-2,Web Shell,Account Management
T1525,AC-2,Implant Internal Image,Account Management
T1537,AC-2,Transfer Data to Cloud Account,Account Management
T1543,AC-2,Create or Modify System Process,Account Management
T1543.001,AC-2,Launch Agent,Account Management
T1543.003,AC-2,Windows Service,Account Management
T1546.003,AC-2,Windows Management Instrumentation Event Subscription,Account Management
T1547.004,AC-2,Winlogon Helper DLL,Account Management
T1547.006,AC-2,Kernel Modules and Extensions,Account Management
T1547.009,AC-2,Shortcut Modification,Account Management
T1548.002,AC-2,Bypass User Account Control,Account Management
T1548.003,AC-2,Sudo and Sudo Caching,Account Management
T1556.004,AC-2,Network Device Authentication,Account Management
T1558,AC-2,Steal or Forge Kerberos Tickets,Account Management
T1558.003,AC-2,Kerberoasting,Account Management
T1559,AC-2,Inter-Process Communication,Account Management
T1562,AC-2,Impair Defenses,Account Management
T1562.001,AC-2,Disable or Modify Tools,Account Management
T1562.006,AC-2,Indicator Blocking,Account Management
T1562.008,AC-2,Disable Cloud Logs,Account Management
T1567,AC-2,Exfiltration Over Web Service,Account Management
T1574,AC-2,Hijack Execution Flow,Account Management
T1574.007,AC-2,Path Interception by PATH Environment Variable,Account Management
T1609,AC-2,Container Administration Command,Account Management
T1610,AC-2,Deploy Container,Account Management
T1003,AC-2,OS Credential Dumping,Account Management
T1003.004,AC-2,LSA Secrets,Account Management
T1003.005,AC-2,Cached Domain Credentials,Account Management
T1003.006,AC-2,DCSync,Account Management
T1003.007,AC-2,Proc Filesystem,Account Management
T1003.008,AC-2,/etc/passwd and /etc/shadow,Account Management
T1021,AC-2,Remote Services,Account Management
T1021.002,AC-2,SMB/Windows Admin Shares,Account Management
T1021.003,AC-2,Distributed Component Object Model,Account Management
T1021.004,AC-2,SSH,Account Management
T1021.005,AC-2,VNC,Account Management
T1021.006,AC-2,Windows Remote Management,Account Management
T1025,AC-2,Data from Removable Media,Account Management
T1036,AC-2,Masquerading,Account Management
T1036.003,AC-2,Rename System Utilities,Account Management
T1036.005,AC-2,Match Legitimate Name or Location,Account Management
T1041,AC-2,Exfiltration Over C2 Channel,Account Management
T1048,AC-2,Exfiltration Over Alternative Protocol,Account Management
T1048.002,AC-2,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Account Management
T1048.003,AC-2,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Account Management
T1052,AC-2,Exfiltration Over Physical Medium,Account Management
T1052.001,AC-2,Exfiltration over USB,Account Management
T1053.006,AC-2,Systemd Timers,Account Management
T1053.007,AC-2,Container Orchestration Job,Account Management
T1055.008,AC-2,Ptrace System Calls,Account Management
T1056.003,AC-2,Web Portal Capture,Account Management
T1059.003,AC-2,Windows Command Shell,Account Management
T1059.004,AC-2,Unix Shell,Account Management
T1059.006,AC-2,Python,Account Management
T1059.007,AC-2,JavaScript,Account Management
T1070.002,AC-2,Clear Linux or Mac System Logs,Account Management
T1072,AC-2,Software Deployment Tools,Account Management
T1078.001,AC-2,Default Accounts,Account Management
T1078.003,AC-2,Local Accounts,Account Management
T1087.004,AC-2,Cloud Account,Account Management
T1110,AC-2,Brute Force,Account Management
T1110.003,AC-2,Password Spraying,Account Management
T1110.004,AC-2,Credential Stuffing,Account Management
T1134,AC-2,Access Token Manipulation,Account Management
T1134.001,AC-2,Token Impersonation/Theft,Account Management
T1134.002,AC-2,Create Process with Token,Account Management
T1134.003,AC-2,Make and Impersonate Token,Account Management
T1136,AC-2,Create Account,Account Management
T1136.001,AC-2,Local Account,Account Management
T1136.002,AC-2,Domain Account,Account Management
T1136.003,AC-2,Cloud Account,Account Management
T1185,AC-2,Browser Session Hijacking,Account Management
T1213,AC-2,Data from Information Repositories,Account Management
T1213.001,AC-2,Confluence,Account Management
T1213.002,AC-2,Sharepoint,Account Management
T1222.001,AC-2,Windows File and Directory Permissions Modification,Account Management
T1222.002,AC-2,Linux and Mac File and Directory Permissions Modification,Account Management
T1484,AC-2,Domain Policy Modification,Account Management
T1489,AC-2,Service Stop,Account Management
T1505.002,AC-2,Transport Agent,Account Management
T1538,AC-2,Cloud Service Dashboard,Account Management
T1542,AC-2,Pre-OS Boot,Account Management
T1542.001,AC-2,System Firmware,Account Management
T1542.003,AC-2,Bootkit,Account Management
T1542.005,AC-2,TFTP Boot,Account Management
T1543.002,AC-2,Systemd Service,Account Management
T1543.004,AC-2,Launch Daemon,Account Management
T1547.012,AC-2,Print Processors,Account Management
T1547.013,AC-2,XDG Autostart Entries,Account Management
T1548,AC-2,Abuse Elevation Control Mechanism,Account Management
T1550,AC-2,Use Alternate Authentication Material,Account Management
T1550.002,AC-2,Pass the Hash,Account Management
T1550.003,AC-2,Pass the Ticket,Account Management
T1552,AC-2,Unsecured Credentials,Account Management
T1552.001,AC-2,Credentials In Files,Account Management
T1552.002,AC-2,Credentials in Registry,Account Management
T1552.004,AC-2,Private Keys,Account Management
T1552.006,AC-2,Group Policy Preferences,Account Management
T1556.001,AC-2,Domain Controller Authentication,Account Management
T1556.003,AC-2,Pluggable Authentication Modules,Account Management
T1558.001,AC-2,Golden Ticket,Account Management
T1558.002,AC-2,Silver Ticket,Account Management
T1558.004,AC-2,AS-REP Roasting,Account Management
T1559.001,AC-2,Component Object Model,Account Management
T1562.002,AC-2,Disable Windows Event Logging,Account Management
T1562.004,AC-2,Disable or Modify System Firewall,Account Management
T1562.007,AC-2,Disable or Modify Cloud Firewall,Account Management
T1562.009,AC-2,Safe Mode Boot,Account Management
T1563,AC-2,Remote Service Session Hijacking,Account Management
T1563.001,AC-2,SSH Hijacking,Account Management
T1563.002,AC-2,RDP Hijacking,Account Management
T1569,AC-2,System Services,Account Management
T1569.001,AC-2,Launchctl,Account Management
T1569.002,AC-2,Service Execution,Account Management
T1574.004,AC-2,Dylib Hijacking,Account Management
T1574.005,AC-2,Executable Installer File Permissions Weakness,Account Management
T1574.008,AC-2,Path Interception by Search Order Hijacking,Account Management
T1574.009,AC-2,Path Interception by Unquoted Path,Account Management
T1574.010,AC-2,Services File Permissions Weakness,Account Management
T1574.012,AC-2,COR_PROFILER,Account Management
T1578,AC-2,Modify Cloud Compute Infrastructure,Account Management
T1578.001,AC-2,Create Snapshot,Account Management
T1578.002,AC-2,Create Cloud Instance,Account Management
T1578.003,AC-2,Delete Cloud Instance,Account Management
T1599.001,AC-2,Network Address Translation Traversal,Account Management
T1601,AC-2,Modify System Image,Account Management
T1601.001,AC-2,Patch System Image,Account Management
T1601.002,AC-2,Downgrade System Image,Account Management
T1606,AC-2,Forge Web Credentials,Account Management
T1606.001,AC-2,Web Cookies,Account Management
T1606.002,AC-2,SAML Tokens,Account Management
T1612,AC-2,Build Image on Host,Account Management
T1613,AC-2,Container and Resource Discovery,Account Management
T1619,AC-2,Cloud Storage Object Discovery,Account Management
T1003.001,AC-2,LSASS Memory,Account Management
T1003.002,AC-2,Security Account Manager,Account Management
T1003.003,AC-2,NTDS,Account Management
T1005,AC-2,Data from Local System,Account Management
T1055,AC-2,Process Injection,Account Management
T1068,AC-2,Exploitation for Privilege Escalation,Account Management
T1078,AC-2,Valid Accounts,Account Management
T1110.001,AC-2,Password Guessing,Account Management
T1110.002,AC-2,Password Cracking,Account Management
T1212,AC-2,Exploitation for Credential Access,Account Management
T1218,AC-2,Signed Binary Proxy Execution,Account Management
T1528,AC-2,Steal Application Access Token,Account Management
T1530,AC-2,Data from Cloud Storage Object,Account Management
T1552.007,AC-2,Container API,Account Management
T1556,AC-2,Modify Authentication Process,Account Management
T1580,AC-2,Cloud Infrastructure Discovery,Account Management
T1599,AC-2,Network Boundary Bridging,Account Management
T1611,AC-2,Escape to Host,Account Management
T1070.007,AC-2,Clear Network Connection History and Configurations,Account Management
T1070.008,AC-2,Clear Mailbox Data,Account Management
T1070.009,AC-2,Clear Persistence,Account Management
T1098.005,AC-2,Device Registration,Account Management
T1505.005,AC-2,Terminal Services DLL,Account Management
T1648,AC-2,Serverless Execution,Account Management
T1556.005,AC-2,Reversible Encryption,Account Management
T1556.006,AC-2,Multi-Factor Authentication,Account Management
T1556.007,AC-2,Hybrid Identity,Account Management
T1585.003,AC-2,Cloud Accounts,Account Management
T1586.003,AC-2,Cloud Accounts,Account Management
T1621,AC-2,Multi-Factor Authentication Request Generation,Account Management
T1020.001,AC-20,Traffic Duplication,Use of External Systems
T1021.001,AC-20,Remote Desktop Protocol,Use of External Systems
T1078.002,AC-20,Domain Accounts,Use of External Systems
T1078.004,AC-20,Cloud Accounts,Use of External Systems
T1098.001,AC-20,Additional Cloud Credentials,Use of External Systems
T1098.002,AC-20,Exchange Email Delegate Permissions,Use of External Systems
T1098.003,AC-20,Add Office 365 Global Administrator Role,Use of External Systems
T1537,AC-20,Transfer Data to Cloud Account,Use of External Systems
T1550.001,AC-20,Application Access Token,Use of External Systems
T1552.005,AC-20,Cloud Instance Metadata API,Use of External Systems
T1556.004,AC-20,Network Device Authentication,Use of External Systems
T1565,AC-20,Data Manipulation,Use of External Systems
T1565.001,AC-20,Stored Data Manipulation,Use of External Systems
T1565.002,AC-20,Transmitted Data Manipulation,Use of External Systems
T1567,AC-20,Exfiltration Over Web Service,Use of External Systems
T1567.002,AC-20,Exfiltration to Cloud Storage,Use of External Systems
T1602.002,AC-20,Network Device Configuration Dump,Use of External Systems
T1021,AC-20,Remote Services,Use of External Systems
T1021.004,AC-20,SSH,Use of External Systems
T1041,AC-20,Exfiltration Over C2 Channel,Use of External Systems
T1048,AC-20,Exfiltration Over Alternative Protocol,Use of External Systems
T1048.002,AC-20,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Use of External Systems
T1048.003,AC-20,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Use of External Systems
T1052,AC-20,Exfiltration Over Physical Medium,Use of External Systems
T1052.001,AC-20,Exfiltration over USB,Use of External Systems
T1072,AC-20,Software Deployment Tools,Use of External Systems
T1110,AC-20,Brute Force,Use of External Systems
T1110.003,AC-20,Password Spraying,Use of External Systems
T1110.004,AC-20,Credential Stuffing,Use of External Systems
T1114,AC-20,Email Collection,Use of External Systems
T1114.001,AC-20,Local Email Collection,Use of External Systems
T1114.002,AC-20,Remote Email Collection,Use of External Systems
T1114.003,AC-20,Email Forwarding Rule,Use of External Systems
T1134.005,AC-20,SID-History Injection,Use of External Systems
T1136,AC-20,Create Account,Use of External Systems
T1136.001,AC-20,Local Account,Use of External Systems
T1136.002,AC-20,Domain Account,Use of External Systems
T1136.003,AC-20,Cloud Account,Use of External Systems
T1539,AC-20,Steal Web Session Cookie,Use of External Systems
T1552,AC-20,Unsecured Credentials,Use of External Systems
T1552.004,AC-20,Private Keys,Use of External Systems
T1556.001,AC-20,Domain Controller Authentication,Use of External Systems
T1556.003,AC-20,Pluggable Authentication Modules,Use of External Systems
T1557.002,AC-20,ARP Cache Poisoning,Use of External Systems
T1567.001,AC-20,Exfiltration to Code Repository,Use of External Systems
T1602,AC-20,Data from Configuration Repository,Use of External Systems
T1602.001,AC-20,SNMP (MIB Dump),Use of External Systems
T1110.001,AC-20,Password Guessing,Use of External Systems
T1110.002,AC-20,Password Cracking,Use of External Systems
T1119,AC-20,Automated Collection,Use of External Systems
T1133,AC-20,External Remote Services,Use of External Systems
T1200,AC-20,Hardware Additions,Use of External Systems
T1530,AC-20,Data from Cloud Storage Object,Use of External Systems
T1556,AC-20,Modify Authentication Process,Use of External Systems
T1557,AC-20,Adversary-in-the-Middle,Use of External Systems
T1098.004,AC-20,SSH Authorized Keys,Use Of External Information Systems
T1098.005,AC-20,Device Registration,Use of External Systems
T1505.005,AC-20,Terminal Services DLL,Use of External Systems
T1583.007,AC-20,Serverless,Use of External Information Systems
T1584.007,AC-20,Serverless,Use of External Information Systems
T1213,AC-21,Data from Information Repositories,Information Sharing
T1213.001,AC-21,Confluence,Information Sharing
T1213.002,AC-21,Sharepoint,Information Sharing
T1567,AC-23,Exfiltration Over Web Service,Data Mining Protection
T1025,AC-23,Data from Removable Media,Data Mining Protection
T1041,AC-23,Exfiltration Over C2 Channel,Data Mining Protection
T1048,AC-23,Exfiltration Over Alternative Protocol,Data Mining Protection
T1048.002,AC-23,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Data Mining Protection
T1048.003,AC-23,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Data Mining Protection
T1052,AC-23,Exfiltration Over Physical Medium,Data Mining Protection
T1052.001,AC-23,Exfiltration over USB,Data Mining Protection
T1213,AC-23,Data from Information Repositories,Data Mining Protection
T1213.001,AC-23,Confluence,Data Mining Protection
T1213.002,AC-23,Sharepoint,Data Mining Protection
T1005,AC-23,Data from Local System,Data Mining Protection
T1133,AC-23,External Remote Services,Data Mining Protection
T1552.007,AC-23,Container API,Data Mining Protection
T1021.001,AC-3,Remote Desktop Protocol,Access Enforcement
T1037.002,AC-3,Logon Script (Mac),Access Enforcement
T1037.005,AC-3,Startup Items,Access Enforcement
T1047,AC-3,Windows Management Instrumentation,Access Enforcement
T1053,AC-3,Scheduled Task/Job,Access Enforcement
T1053.002,AC-3,At (Windows),Access Enforcement
T1053.003,AC-3,Cron,Access Enforcement
T1053.005,AC-3,Scheduled Task,Access Enforcement
T1059,AC-3,Command and Scripting Interpreter,Access Enforcement
T1059.001,AC-3,PowerShell,Access Enforcement
T1059.002,AC-3,AppleScript,Access Enforcement
T1059.005,AC-3,Visual Basic,Access Enforcement
T1059.008,AC-3,Network Device CLI,Access Enforcement
T1070,AC-3,Indicator Removal on Host,Access Enforcement
T1070.001,AC-3,Clear Windows Event Logs,Access Enforcement
T1070.003,AC-3,Clear Command History,Access Enforcement
T1078.002,AC-3,Domain Accounts,Access Enforcement
T1078.004,AC-3,Cloud Accounts,Access Enforcement
T1095,AC-3,Non-Application Layer Protocol,Access Enforcement
T1098,AC-3,Account Manipulation,Access Enforcement
T1098.001,AC-3,Additional Cloud Credentials,Access Enforcement
T1098.002,AC-3,Exchange Email Delegate Permissions,Access Enforcement
T1098.003,AC-3,Add Office 365 Global Administrator Role,Access Enforcement
T1098.004,AC-3,SSH Authorized Keys,Access Enforcement
T1190,AC-3,Exploit Public-Facing Application,Access Enforcement
T1197,AC-3,BITS Jobs,Access Enforcement
T1205,AC-3,Traffic Signaling,Access Enforcement
T1205.001,AC-3,Port Knocking,Access Enforcement
T1210,AC-3,Exploitation of Remote Services,Access Enforcement
T1213.003,AC-3,Code Repositories,Access Enforcement
T1218.007,AC-3,Msiexec,Access Enforcement
T1218.012,AC-3,Verclsid,Access Enforcement
T1219,AC-3,Remote Access Software,Access Enforcement
T1222,AC-3,File and Directory Permissions Modification,Access Enforcement
T1486,AC-3,Data Encrypted for Impact,Access Enforcement
T1490,AC-3,Inhibit System Recovery,Access Enforcement
T1491,AC-3,Defacement,Access Enforcement
T1491.001,AC-3,Internal Defacement,Access Enforcement
T1491.002,AC-3,External Defacement,Access Enforcement
T1495,AC-3,Firmware Corruption,Access Enforcement
T1498.001,AC-3,Direct Network Flood,Access Enforcement
T1498.002,AC-3,Reflection Amplification,Access Enforcement
T1499,AC-3,Endpoint Denial of Service,Access Enforcement
T1499.001,AC-3,OS Exhaustion Flood,Access Enforcement
T1499.002,AC-3,Service Exhaustion Flood,Access Enforcement
